U+1228D	𒊍
U+1228E	𒊎
U+1228F	𒊏
U+1229A	𒊚
U+1229B	𒊛
U+1229C	𒊜
U+1229D	𒊝
U+1229E	𒊞
U+1229F	𒊟
U+1230A	𒌊
U+1230B	𒌋
U+1230C	𒌌
U+1230D	𒌍
U+1230E	𒌎
U+1230F	𒌏
U+1231A	𒌚
U+1231B	𒌛
U+1231C	𒌜
U+1231D	𒌝
U+1231E	𒌞
U+1231F	𒌟
U+1232A	𒌪
U+1232B	𒌫
U+1232C	𒌬
U+1232D	𒌭
U+1232E	𒌮
U+1232F	𒌯
U+1233A	𒌺
U+1233B	𒌻
U+1233C	𒌼
U+1233D	𒌽
U+1233E	𒌾
U+1233F	𒌿
U+1234A	𒍊
U+1234B	𒍋
U+1234C	𒍌
U+1234D	𒍍
U+1234E	𒍎
U+1234F	𒍏
U+1235A	𒍚
U+1235B	𒍛
U+1235C	𒍜
U+1235D	𒍝
U+1235E	𒍞
U+1235F	𒍟
U+1236A	𒍪
U+1236B	𒍫
U+1236C	𒍬
U+1236D	𒍭
U+1236E	𒍮
U+1236F	𒍯
U+1237A	𒍺
U+1237B	𒍻
U+1237C	𒍼
U+1237D	𒍽
U+1237E	𒍾
U+1237F	𒍿
U+1238A	𒎊
U+1238B	𒎋
U+1238C	𒎌
U+1238D	𒎍
U+1238E	𒎎
U+1238F	𒎏
U+12000	𒀀
U+12001	𒀁
U+12002	𒀂
U+12003	𒀃
U+12004	𒀄
U+12005	𒀅
U+12006	𒀆
U+12007	𒀇
U+12008	𒀈
U+12009	𒀉
U+12010	𒀐
U+12011	𒀑
U+12012	𒀒
U+12013	𒀓
U+12014	𒀔
U+12015	𒀕
U+12016	𒀖
U+12017	𒀗
U+12018	𒀘
U+12019	𒀙
U+12020	𒀠
U+12021	𒀡
U+12022	𒀢
U+12023	𒀣
U+12024	𒀤
U+12025	𒀥
U+12026	𒀦
U+12027	𒀧
U+12028	𒀨
U+12029	𒀩
U+12030	𒀰	
U+12031	𒀱
U+12032	𒀲
U+12033	𒀳
U+12034	𒀴
U+12035	𒀵
U+12036	𒀶
U+12037	𒀷
U+12038	𒀸
U+12039	𒀹
U+12040	𒁀
U+12041	𒁁
U+12042	𒁂
U+12043	𒁃
U+12044	𒁄
U+12045	𒁅
U+12046	𒁆
U+12047	𒁇
U+12048	𒁈
U+12049	𒁉
U+12050	𒁐
U+12051	𒁑
U+12052	𒁒
U+12053	𒁓
U+12054	𒁔
U+12055	𒁕
U+12056	𒁖
U+12057	𒁗
U+12058	𒁘
U+12059	𒁙
U+12060	𒁠
U+12061	𒁡
U+12062	𒁢
U+12063	𒁣
U+12064	𒁤
U+12065	𒁥
U+12066	𒁦
U+12067	𒁧
U+12068	𒁨
U+12069	𒁩
U+12070	𒁰
U+12071	𒁱
U+12072	𒁲
U+12073	𒁳
U+12074	𒁴
U+12075	𒁵
U+12076	𒁶
U+12077	𒁷
U+12078	𒁸
U+12079	𒁹
U+12080	𒂀
U+12081	𒂁
U+12082	𒂂
U+12083	𒂃
U+12084	𒂄
U+12085	𒂅
U+12086	𒂆
U+12087	𒂇
U+12088	𒂈
U+12089	𒂉
U+12090	𒂐
U+12091	𒂑
U+12092	𒂒
U+12093	𒂓
U+12094	𒂔
U+12095	𒂕
U+12096	𒂖
U+12097	𒂗
U+12098	𒂘
U+12099	𒂙
U+12100	𒄀
U+12101	𒄁
U+12102	𒄂
U+12103	𒄃
U+12104	𒄄
U+12105	𒄅
U+12106	𒄆
U+12107	𒄇
U+12108	𒄈
U+12109	𒄉
U+12110	𒄐
U+12111	𒄑
U+12112	𒄒
U+12113	𒄓
U+12114	𒄔
U+12115	𒄕
U+12116	𒄖
U+12117	𒄗
U+12118	𒄘
U+12119	𒄙
U+12120	𒄠
U+12121	𒄡
U+12122	𒄢
U+12123	𒄣
U+12124	𒄤
U+12125	𒄥
U+12126	𒄦
U+12127	𒄧
U+12128	𒄨
U+12129	𒄩
U+12130	𒄰
U+12131	𒄱
U+12132	𒄲
U+12133	𒄳
U+12134	𒄴
U+12135	𒄵
U+12136	𒄶
U+12137	𒄷
U+12138	𒄸
U+12139	𒄹
U+12140	𒅀
U+12141	𒅁
U+12142	𒅂
U+12143	𒅃
U+12144	𒅄
U+12145	𒅅
U+12146	𒅆
U+12147	𒅇
U+12148	𒅈
U+12149	𒅉
U+12150	𒅐
U+12151	𒅑
U+12152	𒅒
U+12153	𒅓
U+12154	𒅔
